attempt_id,poll_type,poll_type_2,poll_id,poll_source,course_id,course_session_id,on_demand_session_id,evaluation_id,classroom_activity_id,is_course_session_deleted,poll_answered,poll_seen,user_id,question_type,question_id,question_text,question_image_flag,question_format,show_correct_answer,choice_type,selected_choice_id,submitted_choice_text,correct_choice_id,is_correct_answer,poll_start_time,poll_end_time,poll_duration,total_choices_selected,creator_id,is_poll_deleted,poll_created_at,poll_updated_at,choice_submitted_at,rn,,,,,,,,,,,
mcq15189233,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,0,0,648953,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,-1,,1265052,,12/16/25 5:38,12/16/25 5:38,,0,557612,0,12/11/25 10:35,12/11/25 10:35,,1,,,,,,,,,,,
mcq15189236,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,0,0,647295,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,-1,,1265052,,12/16/25 5:38,12/16/25 5:38,,0,557612,0,12/11/25 10:35,12/11/25 10:35,,1,,,,,,,,,,,
mcq15189317,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,1,1,647499,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,1265054,,1265052,0,12/16/25 5:38,12/16/25 5:39,60,3,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:39,1,,,,,,,,,,,
mcq15189230,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,1,1,647426,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,1265053,,1265052,0,12/16/25 5:38,12/16/25 5:39,60,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:39,1,,,,,,,,,,,
mcq15189224,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,1,1,647433,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,1265052,,1265052,1,12/16/25 5:38,12/16/25 5:39,60,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:39,1,,,,,,,,,,,
mcq15189318,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,1,1,647411,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,1265052,,1265052,1,12/16/25 5:38,12/16/25 5:39,60,4,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:39,1,,,,,,,,,,,
mcq15189235,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,1,1,651452,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,1265053,,1265052,0,12/16/25 5:38,12/16/25 5:39,60,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:39,1,,,,,,,,,,,
mcq15189232,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,1,1,652934,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,1265054,,1265052,0,12/16/25 5:38,12/16/25 5:39,60,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:39,1,,,,,,,,,,,
mcq15189313,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,1,1,657525,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,1265054,,1265052,0,12/16/25 5:38,12/16/25 5:39,60,8,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:39,1,,,,,,,,,,,
mcq15192083,mcq,SECTION_CHECK,342124,course session,14796,70690,,,148838,0,1,1,652958,has correct answer,322117,في الشكل المجاور:مستطيل محيطه ٢٠ ، ومساحته ٢٤ وجميع الدوائر متطابقة ، اوجد طول قطر الدائرة ؟,1,image and text,0,MCQ,1260594,,1260592,0,12/16/25 5:58,12/16/25 5:58,34,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:58,1,,,,,,,,,,,
mcq15191981,mcq,SECTION_CHECK,342124,course session,14796,70690,,,148838,0,0,0,652938,has correct answer,322117,في الشكل المجاور:مستطيل محيطه ٢٠ ، ومساحته ٢٤ وجميع الدوائر متطابقة ، اوجد طول قطر الدائرة ؟,1,image and text,0,MCQ,-1,,1260592,,12/16/25 5:58,12/16/25 5:58,,0,557612,0,12/11/25 10:35,12/11/25 10:35,,1,,,,,,,,,,,
mcq15191996,mcq,SECTION_CHECK,342124,course session,14796,70690,,,148838,0,1,1,657525,has correct answer,322117,في الشكل المجاور:مستطيل محيطه ٢٠ ، ومساحته ٢٤ وجميع الدوائر متطابقة ، اوجد طول قطر الدائرة ؟,1,image and text,0,MCQ,1260593,,1260592,0,12/16/25 5:58,12/16/25 5:58,60,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:58,1,,,,,,,,,,,
mcq15191994,mcq,SECTION_CHECK,342124,course session,14796,70690,,,148838,0,1,1,648959,has correct answer,322117,في الشكل المجاور:مستطيل محيطه ٢٠ ، ومساحته ٢٤ وجميع الدوائر متطابقة ، اوجد طول قطر الدائرة ؟,1,image and text,0,MCQ,1260592,,1260592,1,12/16/25 5:58,12/16/25 5:58,60,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:58,1,,,,,,,,,,,
mcq15191993,mcq,SECTION_CHECK,342124,course session,14796,70690,,,148838,0,0,0,647295,has correct answer,322117,في الشكل المجاور:مستطيل محيطه ٢٠ ، ومساحته ٢٤ وجميع الدوائر متطابقة ، اوجد طول قطر الدائرة ؟,1,image and text,0,MCQ,-1,,1260592,,12/16/25 5:58,12/16/25 5:58,,0,557612,0,12/11/25 10:35,12/11/25 10:35,,1,,,,,,,,,,,
mcq15192006,mcq,SECTION_CHECK,342124,course session,14796,70690,,,148838,0,1,1,647306,has correct answer,322117,في الشكل المجاور:مستطيل محيطه ٢٠ ، ومساحته ٢٤ وجميع الدوائر متطابقة ، اوجد طول قطر الدائرة ؟,1,image and text,0,MCQ,1260592,,1260592,1,12/16/25 5:58,12/16/25 5:58,60,2,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:58,1,,,,,,,,,,,
