activity_id,course_session_id,session_class_type,session_slide_id,type,start_time,end_time,activity_happened,created_at,planned_duration,duration,mcq_ids,question_ids,room_ids,total_mcqs,creator_id,mcq_types
148963,70712,LIVE_CLASS,1397086,SECTION_CHECK,2025-12-16 05:49:35,2025-12-16 05:50:40,1,2025-12-11 10:53:24,60,65.00,[342527],[323459],[54335],1,557612,"[""MCQ""]"
148960,70712,LIVE_CLASS,1397083,EXIT_TICKET,2025-12-16 06:09:26,2025-12-16 06:13:09,1,2025-12-11 10:53:24,240,223.00,"[342518, 342519, 342520, 342517]","[321865, 319910, 321830, 339460]",[54335],4,557612,"[""MCQ""]"
148964,70712,LIVE_CLASS,1397087,SECTION_CHECK,2025-12-16 05:45:12,2025-12-16 05:46:17,1,2025-12-11 10:53:24,60,65.00,[342528],[317126],[54335],1,557612,"[""MCQ""]"
148962,70712,LIVE_CLASS,1397085,SECTION_CHECK,2025-12-16 05:59:23,2025-12-16 06:00:32,1,2025-12-11 10:53:24,60,69.00,[342526],[324456],[54335],1,557612,"[""MCQ""]"
148965,70712,LIVE_CLASS,1397088,SECTION_CHECK,,,0,2025-12-11 10:53:24,60,,[342529],[337920],[],1,557612,"[""MCQ""]"
148961,70712,LIVE_CLASS,1397084,TEAM_EXERCISE,2025-12-16 06:01:22,2025-12-16 06:06:00,1,2025-12-11 10:53:24,300,278.00,"[342521, 342525, 342522, 342523, 342524]","[347331, 324701, 340522, 325195, 347882]",[54335],5,557612,"[""MCQ""]"
