activity_id,course_session_id,session_class_type,session_slide_id,type,start_time,end_time,activity_happened,created_at,planned_duration,duration,mcq_ids,question_ids,room_ids,total_mcqs,creator_id,mcq_types
148841,70690,LIVE_CLASS,1396625,SECTION_CHECK,12/16/25 5:38,12/16/25 5:39,1,12/11/25 10:35,60,65,[342127],[323256],[54332],1,557612,"[""MCQ""]"
148837,70690,LIVE_CLASS,1396621,TEAM_EXERCISE,12/16/25 6:04,12/16/25 6:09,1,12/11/25 10:35,300,309,"[342123, 342119, 342120, 342121, 342122]","[367083, 339665, 347331, 334117, 334118]",[54332],5,557612,"[""MCQ""]"
148836,70690,LIVE_CLASS,1396620,EXIT_TICKET,12/16/25 6:14,12/16/25 6:18,1,12/11/25 10:35,240,243,"[342115, 342116, 342117, 342118]","[321509, 321830, 319911, 18098]",[54332],4,557612,"[""MCQ""]"
148839,70690,LIVE_CLASS,1396623,SECTION_CHECK,12/16/25 5:51,12/16/25 5:53,1,12/11/25 10:35,60,66,[342125],[339211],[54332],1,557612,"[""MCQ""]"
148840,70690,LIVE_CLASS,1396624,SECTION_CHECK,12/16/25 5:48,12/16/25 5:49,1,12/11/25 10:35,60,65,[342126],[339432],[54332],1,557612,"[""MCQ""]"
148838,70690,LIVE_CLASS,1396622,SECTION_CHECK,12/16/25 5:58,12/16/25 5:59,1,12/11/25 10:35,60,63,[342124],[322117],[54332],1,557612,"[""MCQ""]"
