course_session_id,room_id,user_id,event_datetime,session_slide_id_reaction_made,session_slide_id,emotion,part_of_activity,total_reactions,dt
70712,54335,647392,2025-12-16 05:46:27,1397087,1397087,skip,1,1,20251216
70712,54335,647500,2025-12-16 05:30:09,1397059,,skip,0,1,20251216
70712,54335,647335,2025-12-16 05:51:18,1397086,1397086,skip,1,1,20251216
70712,54335,651256,2025-12-16 06:01:15,1397085,1397085,skip,1,1,20251216
70712,54335,648844,2025-12-16 06:01:58,1397084,1397084,loved,0,1,20251216
70712,54335,651182,2025-12-16 05:50:43,1397086,1397086,skip,1,1,20251216
70712,54335,647378,2025-12-16 05:51:02,1397086,1397086,skip,1,1,20251216
70712,54335,648921,2025-12-16 05:50:42,1397086,1397086,skip,1,1,20251216
70712,54335,649025,2025-12-16 06:13:13,1397083,1397083,loved,1,1,20251216
70712,54335,647382,2025-12-16 05:36:35,1397088,1397088,loved,0,2,20251216
70712,54335,657728,2025-12-16 05:46:19,1397087,1397087,skip,1,1,20251216
70712,54335,647382,2025-12-16 05:36:36,1397065,,loved,0,3,20251216
70712,54335,651267,2025-12-16 05:50:54,1397086,1397086,sad,1,1,20251216
70712,54335,652818,2025-12-16 06:06:01,1397084,1397084,loved,1,1,20251216
70712,54335,653165,2025-12-16 05:46:24,1397087,1397087,skip,1,1,20251216
70712,54335,653165,2025-12-16 05:51:29,1397086,1397086,skip,1,1,20251216
70712,54335,647395,2025-12-16 05:46:19,1397087,1397087,skip,1,1,20251216
70712,54335,651183,2025-12-16 06:00:34,1397085,1397085,loved,1,1,20251216
70712,54335,647322,2025-12-16 05:50:47,1397086,1397086,loved,1,1,20251216
70712,54335,647334,2025-12-16 06:08:19,1397084,1397084,skip,1,1,20251216
70712,54335,647380,2025-12-16 06:03:16,1397084,1397084,loved,0,2,20251216
70712,54335,651187,2025-12-16 06:01:48,1397084,1397085,skip,1,1,20251216
70712,54335,649049,2025-12-16 05:50:43,1397086,1397086,skip,1,1,20251216
70712,54335,659235,2025-12-16 06:00:40,1397085,1397085,skip,1,1,20251216
70712,54335,651187,2025-12-16 05:50:45,1397086,1397086,stronger,1,1,20251216
70712,54335,676513,2025-12-16 06:00:33,1397085,1397085,skip,1,1,20251216
70712,54335,647465,2025-12-16 06:00:39,1397085,1397085,skip,1,1,20251216
70712,54335,647373,2025-12-16 06:08:59,1397084,1397084,skip,1,1,20251216
70712,54335,651256,2025-12-16 05:50:56,1397086,1397086,sad,0,1,20251216
70712,54335,647361,2025-12-16 06:06:57,1397084,1397084,stronger,1,1,20251216
70712,54335,647367,2025-12-16 06:00:34,1397085,1397085,skip,1,1,20251216
70712,54335,651260,2025-12-16 06:00:34,1397085,1397085,skip,1,1,20251216
70712,54335,647392,2025-12-16 05:33:35,1397063,,loved,0,3,20251216
70712,54335,651256,2025-12-16 05:46:58,1397087,1397087,loved,0,8,20251216
70712,54335,652832,2025-12-16 06:09:06,1397084,1397084,skip,1,1,20251216
70712,54335,652834,2025-12-16 05:46:19,1397087,1397087,sad,1,1,20251216
70712,54335,652875,2025-12-16 05:50:46,1397086,1397086,loved,1,1,20251216
70712,54335,649025,2025-12-16 06:06:02,1397084,1397084,skip,1,1,20251216
70712,54335,647340,2025-12-16 05:46:19,1397087,1397087,skip,1,1,20251216
70712,54335,647318,2025-12-16 05:50:42,1397086,1397086,skip,1,1,20251216
70712,54335,647392,2025-12-16 05:33:37,1397063,,stronger,0,1,20251216
70712,54335,647355,2025-12-16 06:00:35,1397085,1397085,loved,1,1,20251216
70712,54335,647318,2025-12-16 05:46:21,1397087,1397087,skip,1,1,20251216
70712,54335,648919,2025-12-16 06:00:34,1397085,1397085,skip,1,1,20251216
70712,54335,647375,2025-12-16 05:48:45,1397071,1397087,skip,1,1,20251216
70712,54335,651255,2025-12-16 05:46:23,1397087,1397087,loved,1,1,20251216
70712,54335,651199,2025-12-16 06:12:18,1397083,1397084,skip,1,1,20251216
70712,54335,648844,2025-12-16 06:13:11,1397083,1397083,loved,1,1,20251216
70712,54335,647467,2025-12-16 05:51:22,1397086,1397086,skip,1,1,20251216
70712,54335,651198,2025-12-16 05:46:28,1397087,1397087,skip,1,1,20251216
70712,54335,652817,2025-12-16 06:15:44,1397083,1397083,loved,0,1,20251216
70712,54335,647395,2025-12-16 05:54:40,1397073,1397086,skip,1,1,20251216
70712,54335,648856,2025-12-16 05:42:09,1397068,,loved,0,2,20251216
70712,54335,651256,2025-12-16 05:57:15,1397085,1397085,loved,0,1,20251216
70712,54335,647323,2025-12-16 06:06:20,1397084,1397084,skip,1,1,20251216
70712,54335,647336,2025-12-16 06:07:13,1397084,1397084,skip,1,1,20251216
70712,54335,647382,2025-12-16 05:50:45,1397086,1397086,loved,1,1,20251216
70712,54335,651245,2025-12-16 06:01:29,1397084,1397085,loved,1,1,20251216
70712,54335,648865,2025-12-16 05:46:20,1397087,1397087,skip,1,1,20251216
70712,54335,651255,2025-12-16 06:02:00,1397084,1397085,loved,1,1,20251216
70712,54335,647465,2025-12-16 05:46:20,1397087,1397087,skip,1,1,20251216
70712,54335,647349,2025-12-16 06:12:15,1397083,1397084,skip,1,1,20251216
70712,54335,647322,2025-12-16 05:46:42,1397087,1397087,loved,1,1,20251216
70712,54335,653165,2025-12-16 06:06:05,1397084,1397084,skip,1,1,20251216
70712,54335,649060,2025-12-16 06:06:10,1397084,1397084,skip,1,1,20251216
70712,54335,647467,2025-12-16 06:06:02,1397084,1397084,skip,1,1,20251216
